Sr.No,Salt Name,Formula,Composition,Molecular Weight (g/mol),Valency (eq per mole),Equivalent Weight (g/eq),Molarity ,Normality,Volume (ml),Volume (L),Molar solution Weight  (g),Normal solution Weight (g)
5,Potassium Chloride,KCl,K1; Cl1,74.5513,1,74.5513,1,1,50,0.05,3.727565,3.727565
5,Potassium Chloride,KCl,K1; Cl1,74.5513,1,74.5513,1,1,100,0.1,7.45513,7.45513
5,Potassium Chloride,KCl,K1; Cl1,74.5513,1,74.5513,1,1,250,0.25,18.637825,18.637825
5,Potassium Chloride,KCl,K1; Cl1,74.5513,1,74.5513,1,1,500,0.5,37.27565,37.27565
5,Potassium Chloride,KCl,K1; Cl1,74.5513,1,74.5513,1,1,1000,1,74.5513,74.5513
5,Potassium Chloride,KCl,K1; Cl1,74.5513,1,74.5513,2,2,25,0.025,3.727565,3.727565
5,Potassium Chloride,KCl,K1; Cl1,74.5513,1,74.5513,2,2,50,0.05,7.45513,7.45513
5,Potassium Chloride,KCl,K1; Cl1,74.5513,1,74.5513,2,2,100,0.1,14.91026,14.91026
5,Potassium Chloride,KCl,K1; Cl1,74.5513,1,74.5513,2,2,250,0.25,37.27565,37.27565
5,Potassium Chloride,KCl,K1; Cl1,74.5513,1,74.5513,2,2,500,0.5,74.5513,74.5513
5,Potassium Chloride,KCl,K1; Cl1,74.5513,1,74.5513,2,2,1000,1,149.1026,149.1026
6,Sodium bicarbonate,NaHCO3,Na1; H1; C1; O3,84.0054,1,84.0054,0.1,0.1,25,0.025,0.2100135,0.2100135
6,Sodium bicarbonate,NaHCO3,Na1; H1; C1; O3,84.0054,1,84.0054,0.1,0.1,50,0.05,0.420027,0.420027
6,Sodium bicarbonate,NaHCO3,Na1; H1; C1; O3,84.0054,1,84.0054,0.1,0.1,100,0.1,0.840054,0.840054
6,Sodium bicarbonate,NaHCO3,Na1; H1; C1; O3,84.0054,1,84.0054,0.1,0.1,250,0.25,2.100135,2.100135
6,Sodium bicarbonate,NaHCO3,Na1; H1; C1; O3,84.0054,1,84.0054,0.1,0.1,500,0.5,4.20027,4.20027
6,Sodium bicarbonate,NaHCO3,Na1; H1; C1; O3,84.0054,1,84.0054,0.1,0.1,1000,1,8.40054,8.40054
6,Sodium bicarbonate,NaHCO3,Na1; H1; C1; O3,84.0054,1,84.0054,0.25,0.25,25,0.025,0.52503375,0.52503375
6,Sodium bicarbonate,NaHCO3,Na1; H1; C1; O3,84.0054,1,84.0054,0.25,0.25,50,0.05,1.0500675,1.0500675
6,Sodium bicarbonate,NaHCO3,Na1; H1; C1; O3,84.0054,1,84.0054,0.25,0.25,100,0.1,2.100135,2.100135
6,Sodium bicarbonate,NaHCO3,Na1; H1; C1; O3,84.0054,1,84.0054,0.25,0.25,250,0.25,5.2503375,5.2503375
6,Sodium bicarbonate,NaHCO3,Na1; H1; C1; O3,84.0054,1,84.0054,0.25,0.25,500,0.5,10.500675,10.500675
6,Sodium bicarbonate,NaHCO3,Na1; H1; C1; O3,84.0054,1,84.0054,0.25,0.25,1000,1,21.00135,21.00135
6,Sodium bicarbonate,NaHCO3,Na1; H1; C1; O3,84.0054,1,84.0054,0.5,0.5,25,0.025,1.0500675,1.0500675
6,Sodium bicarbonate,NaHCO3,Na1; H1; C1; O3,84.0054,1,84.0054,0.5,0.5,50,0.05,2.100135,2.100135
6,Sodium bicarbonate,NaHCO3,Na1; H1; C1; O3,84.0054,1,84.0054,0.5,0.5,100,0.1,4.20027,4.20027
6,Sodium bicarbonate,NaHCO3,Na1; H1; C1; O3,84.0054,1,84.0054,0.5,0.5,250,0.25,10.500675,10.500675
6,Sodium bicarbonate,NaHCO3,Na1; H1; C1; O3,84.0054,1,84.0054,0.5,0.5,500,0.5,21.00135,21.00135
6,Sodium bicarbonate,NaHCO3,Na1; H1; C1; O3,84.0054,1,84.0054,0.5,0.5,1000,1,42.0027,42.0027
6,Sodium bicarbonate,NaHCO3,Na1; H1; C1; O3,84.0054,1,84.0054,1,1,25,0.025,2.100135,2.100135
6,Sodium bicarbonate,NaHCO3,Na1; H1; C1; O3,84.0054,1,84.0054,1,1,50,0.05,4.20027,4.20027
6,Sodium bicarbonate,NaHCO3,Na1; H1; C1; O3,84.0054,1,84.0054,1,1,100,0.1,8.40054,8.40054
6,Sodium bicarbonate,NaHCO3,Na1; H1; C1; O3,84.0054,1,84.0054,1,1,250,0.25,21.00135,21.00135
6,Sodium bicarbonate,NaHCO3,Na1; H1; C1; O3,84.0054,1,84.0054,1,1,500,0.5,42.0027,42.0027
6,Sodium bicarbonate,NaHCO3,Na1; H1; C1; O3,84.0054,1,84.0054,1,1,1000,1,84.0054,84.0054
6,Sodium bicarbonate,NaHCO3,Na1; H1; C1; O3,84.0054,1,84.0054,2,2,25,0.025,4.20027,4.20027
6,Sodium bicarbonate,NaHCO3,Na1; H1; C1; O3,84.0054,1,84.0054,2,2,50,0.05,8.40054,8.40054
6,Sodium bicarbonate,NaHCO3,Na1; H1; C1; O3,84.0054,1,84.0054,2,2,100,0.1,16.80108,16.80108
6,Sodium bicarbonate,NaHCO3,Na1; H1; C1; O3,84.0054,1,84.0054,2,2,250,0.25,42.0027,42.0027
6,Sodium bicarbonate,NaHCO3,Na1; H1; C1; O3,84.0054,1,84.0054,2,2,500,0.5,84.0054,84.0054
6,Sodium bicarbonate,NaHCO3,Na1; H1; C1; O3,84.0054,1,84.0054,2,2,1000,1,168.0108,168.0108
7,Potassium Iodide,KI,K1; I1,166.0028,1,166.0028,0.1,0.1,25,0.025,0.415007,0.415007
7,Potassium Iodide,KI,K1; I1,166.0028,1,166.0028,0.1,0.1,50,0.05,0.830014,0.830014
7,Potassium Iodide,KI,K1; I1,166.0028,1,166.0028,0.1,0.1,100,0.1,1.660028,1.660028
7,Potassium Iodide,KI,K1; I1,166.0028,1,166.0028,0.1,0.1,250,0.25,4.15007,4.15007
7,Potassium Iodide,KI,K1; I1,166.0028,1,166.0028,0.1,0.1,500,0.5,8.30014,8.30014
7,Potassium Iodide,KI,K1; I1,166.0028,1,166.0028,0.1,0.1,1000,1,16.60028,16.60028
7,Potassium Iodide,KI,K1; I1,166.0028,1,166.0028,0.25,0.25,25,0.025,1.0375175,1.0375175
7,Potassium Iodide,KI,K1; I1,166.0028,1,166.0028,0.25,0.25,50,0.05,2.075035,2.075035
7,Potassium Iodide,KI,K1; I1,166.0028,1,166.0028,0.25,0.25,100,0.1,4.15007,4.15007
7,Potassium Iodide,KI,K1; I1,166.0028,1,166.0028,0.25,0.25,250,0.25,10.375175,10.375175
7,Potassium Iodide,KI,K1; I1,166.0028,1,166.0028,0.25,0.25,500,0.5,20.75035,20.75035
7,Potassium Iodide,KI,K1; I1,166.0028,1,166.0028,0.25,0.25,1000,1,41.5007,41.5007
7,Potassium Iodide,KI,K1; I1,166.0028,1,166.0028,0.5,0.5,25,0.025,2.075035,2.075035
7,Potassium Iodide,KI,K1; I1,166.0028,1,166.0028,0.5,0.5,50,0.05,4.15007,4.15007
7,Potassium Iodide,KI,K1; I1,166.0028,1,166.0028,0.5,0.5,100,0.1,8.30014,8.30014
7,Potassium Iodide,KI,K1; I1,166.0028,1,166.0028,0.5,0.5,250,0.25,20.75035,20.75035
7,Potassium Iodide,KI,K1; I1,166.0028,1,166.0028,0.5,0.5,500,0.5,41.5007,41.5007
7,Potassium Iodide,KI,K1; I1,166.0028,1,166.0028,0.5,0.5,1000,1,83.0014,83.0014
7,Potassium Iodide,KI,K1; I1,166.0028,1,166.0028,1,1,25,0.025,4.15007,4.15007
7,Potassium Iodide,KI,K1; I1,166.0028,1,166.0028,1,1,50,0.05,8.30014,8.30014
7,Potassium Iodide,KI,K1; I1,166.0028,1,166.0028,1,1,100,0.1,16.60028,16.60028
7,Potassium Iodide,KI,K1; I1,166.0028,1,166.0028,1,1,250,0.25,41.5007,41.5007
7,Potassium Iodide,KI,K1; I1,166.0028,1,166.0028,1,1,500,0.5,83.0014,83.0014
7,Potassium Iodide,KI,K1; I1,166.0028,1,166.0028,1,1,1000,1,166.0028,166.0028
7,Potassium Iodide,KI,K1; I1,166.0028,1,166.0028,2,2,25,0.025,8.30014,8.30014
7,Potassium Iodide,KI,K1; I1,166.0028,1,166.0028,2,2,50,0.05,16.60028,16.60028
7,Potassium Iodide,KI,K1; I1,166.0028,1,166.0028,2,2,100,0.1,33.20056,33.20056
7,Potassium Iodide,KI,K1; I1,166.0028,1,166.0028,2,2,250,0.25,83.0014,83.0014
7,Potassium Iodide,KI,K1; I1,166.0028,1,166.0028,2,2,500,0.5,166.0028,166.0028
7,Potassium Iodide,KI,K1; I1,166.0028,1,166.0028,2,2,1000,1,332.0056,332.0056
8,Potassium Bromide,KBr,K1; Br1,119.0023,1,119.0023,0.1,0.1,25,0.025,0.29750575,0.29750575
8,Potassium Bromide,KBr,K1; Br1,119.0023,1,119.0023,0.1,0.1,50,0.05,0.5950115,0.5950115
8,Potassium Bromide,KBr,K1; Br1,119.0023,1,119.0023,0.1,0.1,100,0.1,1.190023,1.190023
8,Potassium Bromide,KBr,K1; Br1,119.0023,1,119.0023,0.1,0.1,250,0.25,2.9750575,2.9750575
8,Potassium Bromide,KBr,K1; Br1,119.0023,1,119.0023,0.1,0.1,500,0.5,5.950115,5.950115
8,Potassium Bromide,KBr,K1; Br1,119.0023,1,119.0023,0.1,0.1,1000,1,11.90023,11.90023
